sentence,label
soni creations funny show pak ke toh hote hi nahi hain koi telefilm dekh lo heard khaana khud garam karlo,0
humble prime minister narendramodi ji janta ko dil se pir se majbut sarkar chunne ke liye thanks,1
waglenikhil abe sheilding self cyclone teri,0
love yoongi hoseok wow papi,1
manukumarjain xiaomiindia redmiindia disappointing sir iss baar socha tha kuch apne karke,0
rt smallssbabeyy im proud love congratulations homies,1
rt warishmaf best wishes today laylatulqadar transmission may allah pak give uh energy hopefully,1
vaqassiddiqui loveheals zartajgulwazir aur dharne pe meine teri choti baji ko choda tha captain safdar ke sale,0
idledtown shut thhe fuck uo read wrongf im dumb,0
cricketaakash sir ye icc ke jyadatar events england hi kyu hote hai jabki ye fix hota hai ki har dusra match,0
energy eid safayi,1
kathanshah listened ajab si lehar honest god,1
anupamconnects bhakt election years years unemployment rate high aayega modi hi elec,0
tarekfatah ek ek mullo ko kutto ki tarah bhaga bhaga ke maro mc ko eid like,0
rt aryankh iamsrk kamyab rao russell,1
anjalijoshi sanjeevyadav madm ye bahut mahan gyani hain inke ek post ye likha tha ki jo mard namaj nhi,0
bbchindi dogle ko kabhi bhi bjp samil nahi karna chahiye waise bjp khuda hi samajhadar haiisne gujrat el,1
inshallah pakistan win coming world cup nd time sarfaraz dokha nhi dyga wehavewewill,1
saturday class done well done,1
aap sada haste rahen khushal rahen dusron ko bhi khus rakhen good afternoon,1
rt jayshale yesterday birthday one influential people music industry right,1
sushmaswaraj aaj bharat kai har nagrik ko aap par garv hai jis trh se aapnai apnai bitai five years mai foreign,1
gopal raftaar mamataofficial abe sale tujhse jyada mere andar desh bhakti hai dekh le sale mera tweet tu jai,0
hardikpatel itna kya bokhla gaye jo yahi bhul gaye ki bharat ki janta ne hi bjp ko chuna hai hare hai desh k gad,1
shehzad ind smritiirani rahulgandhi ye insaan smriti ji aur modi ji ke pichhe hath dhokar padd gaya hai har,0
saj pakpassion iamamirofficial good much today amir bhai pace bhee high,1
dibang abp ne ab khel sampadak bana diya kya ya maalik ne khabar per bolne se mana kar diya hai sara desh chunav,0
zeenewshindi baadra ji dash kaa paisa khaaker illaj vidasho nahi hindustaan hi kara lo bhagna nahi danga court sa,0
rt tahrim pta kro teacher koi muslim nhi dalo jail aur baqi desh mukdarshk bna dekhta rhe sharm inko kabhi,0
kal tak hum top par achanak election hote hi yeh sacchai kaise bahar aagayi fickr cr rupaye k,1
rt rootedwithsoul hr flash giveaway honor gratitude every one joining,1
buletraja anilgupta yeh deshki janta ka samne choor chowkider ec gudi media ka,0
bi n n vui hay n n bu n khi li n minh pick c u mu n tranh,1
rt renminrise renmin au jaemin renjun love something prevent let letting,1
jo bhi hai aur nakli ppp chairman bilawsl ne jawab kyun nahi diys nab ko silly billo,0
ra bies sekharji ab mudra loan sahi hai toh aap pakode ki dukan laga hi lo kyun ki ab aapki fake journalism ki duk,0
rt alijeesarwar wiladat sibt e payambar imam hussain mubarak standing front zari e imam hussain,1
rssurjewala manakgupta awesome campaign sir keep bhi,1
warispathan modi chacha right soch badlo desh badlega jo kaam kr rha desh k liye usko krne kaam,1
zeenewshindi ye lo yha bhi aaega modi hi,1
aliusman sidraakanwal ku k qanoon kisi ko ijazat nhi data k galti ki hai sudhar jau kia amm awam ko b ga,0
wish happy birthday krishna sir stay,1
ppbajpai agar tumhe country ki constitutional organization pe bharosha hi nahi fir tum hote kaun ho eski demand,1
berrismoothie yaas look betta congrats girl,1
hope someday charminar doesnt turn vendors cloth hanger chaddi sale spot sale right onto gulzar hauz,1
ani said election time apologize people india congrats modiji huge victory w,1
sumona sonytv nsaina parupallik kapilsharmak kikusharda apshaha banijayasia super se uper,1
abbatere anujhumai bina baat bewajah bina kuch soche gaan marwana koi inse sikhe chewtiyon k sath rahoge toh ya,1
timesnow padmajajoshi incindia rahulgandhi priyankagandhi love bade aaye pyar,0
shefvaidya yogendrayadav itne saal congress ko chunte rahe hum log samajhdar nahi hue bjp ko vote dete bew,1
baazi ishq di heart one best heart wrenching stories ever read love fac,1
gayatri sherryontopp ashutosh b ye sahi hai ki gaddaro ki kami nhi hai india apni ki ijjat,1
narendramodi congratulations modi modi sarkar chali chali modi lahar chali har sahar sahar har gaaon,1
maryamnsharif tmhy bt pe shrm ani chahye jo masoom bacho ki jano pe b sayast kr rahi ho itma drd tha,0
cr srk pratibhaa good,1
aap ko hardik subhkamnaye priya modi ji aapko hamari puri tim ki tarf se aap ko hardik subhkamnaye modi ji aap sabs,1
starbharat officialhelly confession chaiye milegi nahi pata hai mujhe writers itne meharban nahi hone wal,1
rubikaliyaquat incindia great job ignore ramjaan k samay pura din bhukhe rakh kr aap,1
thewirehindi aub aap batyenge ki jai shri ram kehna kya hota hai tumlogo ki dukan jis din bund hogi usdin bharat,0
happy birthday dabangg girl sonakshisinha wish many many happy returns day,1
janupande misspaswan ji hme gussa aata hai usne kitno ke priwar ko mrwaya aur maa bahno ki ijjat looti gai,0
fawadchaudhry tum bohut kamey ho jhoot ke dukan agar tum ko naak main se kuch nekalni ka kaha jae tu bhe tum keht,0
